,,SCO Lanes,terminal01,
,Time,Open Hours,Time Available,Time Available
1,13:00,01:00,01:00,01:00
2,14:00,01:00,01:00,01:00
3,15:00,01:00,01:00,01:00
4,16:00,01:00,01:00,01:00
5,17:00,01:00,01:00,01:00
6,18:00,01:00,01:00,01:00
7,19:00,01:00,01:00,01:00
8,20:00,01:00,00:57,00:57
,,,07:57,07:57
