,Business Date,11/25/22,11/26/22,11/27/22,11/28/22,11/29/22,11/30/22,12/01/22
,SCO Lanes,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service
1,terminal01,0.0%,25.0%,100.0%,50.0%,37.5%,75.0%,100.0%
