,Lane SCO,Lane Hours (hh:mm),Time Available (hh:mm),% Time Available,Time Closed (hh:mm),% Time Closed,Time Down (hh:mm),% Time Down
1,terminal01,08:00,07:57,99.4%,00:03,0.6%,00:00,-0.0%
,,08:00,07:57,99.4%,00:03,0.6%,00:00,-0.0%
