,,SCO Lanes,terminal01,
,Time,Open Hours,Full Hours Down,Full Hours Down
1,13:00,01:00,0,0
2,14:00,01:00,0,0
3,15:00,01:00,0,0
4,16:00,01:00,0,0
5,17:00,01:00,0,0
6,18:00,01:00,0,0
7,19:00,01:00,0,0
8,20:00,01:00,0,0
,,,0,0
