,Stores,Time Degraded (hh:mm),% Time Degraded,% Change Last 4 Weeks,Time Not Degraded (hh:mm),% Time Not Degraded ,% Change Last 4 Weeks,Full Days Not Degraded,% Full Days Not Degraded ,% Change Last 4 Weeks
1,s00008-eurolane-ghq-v2,04:07,3.7%,150.4%,108:08,96.3%,-2.2%,20/21,95.2%,-3.6%
,,04:07,3.7%,150.4%,108:08,96.3%,-2.2%,,95.2%,-3.6%
