,Week,11/07,11/14,11/21,11/28
,Stores,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service
1,s00008-eurolane-ghq-v2,33.9%,60.7%,70.2%,78.0%
