,Stores,Lane Hours (hh:mm),Time Available (hh:mm),% Time Available,Time Closed (hh:mm),% Time Closed,Time Down (hh:mm),% Time Down
1,s00008-eurolane-ghq-v2,24:00,04:07,17.2%,08:24,35.0%,11:29,47.8%
,,24:00,04:07,17.2%,08:24,35.0%,11:29,47.8%
