,Business Date,11/30/22,12/01/22,12/02/22,12/03/22,12/04/22,12/05/22,12/06/22
,Stores,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service,% Full Hours In Service
1,s00008-eurolane-ghq-v2,83.3%,100.0%,79.2%,100.0%,100.0%,41.7%,20.8%
