,Lane SCO,Lane Hours (hh:mm),Time Available (hh:mm),% Time Available,Time Closed (hh:mm),% Time Closed,Time Down (hh:mm),% Time Down
1,terminal01,56:00,40:25,72.2%,11:34,20.7%,04:00,7.2%
,,56:00,40:25,72.2%,11:34,20.7%,04:00,7.2%
